CellName,Longitude,Latitude,PCI,EARFCN,ECellID,Azimuth
VF-40374,6.4510831,51.286014,131,6300,10335745,70
VF-40374,6.4510831,51.286014,129,6300,10335746,190
VF-40374,6.4510831,51.286014,130,6300,10335747,310
VF-40374,6.4510831,51.286014,325,101,10335763,0
VF-40374,6.4510831,51.286014,326,101,10335764,120
VF-40374,6.4510831,51.286014,324,101,10335765,240
VF-200179,6.4894579,51.3007954,231,6300,51245825,50
VF-200179,6.4894579,51.3007954,232,6300,51245826,110
VF-200179,6.4894579,51.3007954,233,6300,51245827,270
VF-200179,6.4894579,51.3007954,299,101,51245843,50
VF-200179,6.4894579,51.3007954,297,101,51245844,110
VF-200179,6.4894579,51.3007954,298,101,51245845,270
VF-208453,6.5511613,51.3105043,285,101,53363987,90
VF-208453,6.5511613,51.3105043,287,101,53363988,220
VF-208453,6.5511613,51.3105043,286,101,53363989,330
VF-40217,7.7229375,50.8607250,135,6300,10295553,0
VF-40217,7.7229375,50.8607250,137,6300,10295554,100
VF-40217,7.7229375,50.8607250,136,6300,10295555,260
VF-40217,7.7229375,50.8607250,191,101,10295571,0
VF-40217,7.7229375,50.8607250,189,101,10295572,100
VF-40217,7.7229375,50.8607250,190,101,10295573,260
VF-45315,7.7382514,50.8633848,091,6300,11600641,120
VF-45315,7.7382514,50.8633848,090,6300,11600642,300
VF-45315,7.7382514,50.8633848,401,101,11600659,120
VF-45315,7.7382514,50.8633848,400,101,11600660,300
O2-61940,6.4606726,51.2898893,402,6200,15856641,110
O2-61940,6.4606726,51.2898893,403,6200,15856642,230
O2-61940,6.4606726,51.2898893,404,6200,15856643,350
O2-61940,6.4606726,51.2898893,303,1600,15856665,110
O2-61940,6.4606726,51.2898893,304,1600,15856666,230
O2-61940,6.4606726,51.2898893,305,1600,15856667,350
O2-61850,6.4894579,51.3007954,237,6200,15833601,30
O2-61850,6.4894579,51.3007954,239,6200,15833602,150
O2-61850,6.4894579,51.3007954,238,6200,15833603,270
O2-61850,6.4894579,51.3007954,192,275,15833637,30
O2-61850,6.4894579,51.3007954,194,275,15833638,150
O2-61850,6.4894579,51.3007954,193,275,15833639,270
